,标题,观看进度时间,观看进度率,观看日期时间,封面图片
0,冰糖炖雪梨 第40集,00:45:39,观看至91%,04-20 12:28,https://vthumb.ykimg.com/054201015E883BDA0F954C9BFA3B1C80
1,边澄遭神秘人毒打，黎语冰影响全队被开除？,00:01:02,观看不足1%,04-08 22:29,https://vthumb.ykimg.com/054201015E8DAC0E8B2AE192C30E35E5
2,超人回来了.E324.200209.中字,01:45:27,观看至2%,04-06 16:16,https://vthumb.ykimg.com/054204085E40DD340000011BD106DA8E
3,超人回来了.E323.200202.中字,01:43:26,观看至97%,04-06 16:15,https://vthumb.ykimg.com/054204085E378A450000014680000715
4,超人回来了.E322.200126.中字,01:40:17,已看完,04-06 15:42,https://vthumb.ykimg.com/054204085E33C27D0000015DD30468F4
5,超人回来了.E321.200119.中字,01:40:20,已看完,04-06 15:41,https://vthumb.ykimg.com/054204085E25060B00000124E20AACB9
6,超人回来了.E320.200112 中字,01:40:39,已看完,04-06 15:41,https://vthumb.ykimg.com/054204085E1BD6930000017CDD023E2A
7,超人回来了.E319.200105.中字,01:37:24,已看完,04-06 15:41,https://vthumb.ykimg.com/054204085E1292740000017E2B0C2BDE
8,超人回来了.E332.200405 中字,01:43:37,观看至1%,04-06 15:16,https://vthumb.ykimg.com/054201015E8AA9900F954C9BF579D82C
9,[超清]医学团队01,01:04:02,观看不足1%,03-04 17:05,https://vthumb.ykimg.com/05420408531791636A0A4B123F12046C
10,[超清]医学团队20,00:58:07,观看至21%,03-04 17:04,https://vthumb.ykimg.com/05420408531780F76A0A474496849BEB
11,职场是个技术活 第56集,00:44:46,已看完,03-04 13:26,https://vthumb.ykimg.com/054202015A18867C8B78D21F04087051
12,穆桂英挂帅 第39集,00:40:31,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054206015D52A82400000169C400EC6C
13,乡村爱情12 第01集,00:41:41,观看不足1%,03-04 11:10,https://vthumb.ykimg.com/054201015E1D8E13AD8C70975C2A39A1
14,Doctor异乡人 第20集,00:56:56,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054202015A0D47CD8B78D21F0107DBF0
15,良医 第一季 18,00:42:14,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054206015E1540D600000156EF029E82
16,良医 第一季 1,00:43:16,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054206015E14352A0000016973069714
17,飞虎之潜行极战 第04集,00:44:21,观看至79%,02-10 21:57,https://vthumb.ykimg.com/054202015AC83C5C000001797C094782
18,飞虎之雷霆极战 第30集,00:42:22,观看至82%,02-10 21:55,https://vthumb.ykimg.com/054201015D95F2ECADCA61A0A75ED6E3
19,勇往直前,02:06:42,观看至1%,01-28 21:45,https://vthumb.ykimg.com/054201015D5FD9878B6C06952D977286
20,各位游客请注意 第一季 第06期 张雨绮pick团友王超仁,01:32:21,观看至1%,01-28 21:44,https://vthumb.ykimg.com/054201015D7CE528AD8C70942838E300
21,各位游客请注意 第一季 第10期 陈学冬开嗓唱歌引惊叹,01:32:05,观看至17%,11-15 01:23,https://vthumb.ykimg.com/054201015DA1DFD38B39DA9378EE915D
22,蒲松龄饮酒对诗太智慧，借机讽刺贪官,00:04:33,观看至46%,11-15 01:16,https://vthumb.ykimg.com/054201015DC5624AAD8C709A88A9EAD8
23,各位游客请注意 第一季 第12期 黄宗泽谈演员交际圈,01:29:31,观看至1%,11-15 01:09,https://vthumb.ykimg.com/054201015DB2FE5F8B7475979CC215C8
24,X玖少年团演唱《乱世巨星》，肖战唱歌的样子就是巨星啊！被迷倒,00:04:07,观看至33%,11-15 01:09,https://vthumb.ykimg.com/054201015DAAB831ADD0169CAA5446BD
25,贾乃亮李小璐出轨风波两年后宣布离婚 昔日恩爱瞬间回顾,00:00:48,观看不足1%,11-15 01:06,https://vthumb.ykimg.com/054201015DCD6420ADD0169D17600062
26,瞬间泪目！X玖少年团陆思恒《乱世巨星》，粉丝喊：缺一个肖战！,00:00:32,观看至97%,11-15 01:06,https://vthumb.ykimg.com/054201015D5BE3CD8B747590FC9EE0D4
27,汉娜·蒙塔娜:电影版,01:42:20,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054201015E50E92BADCA61ACBCAC0AEE
28,R1SE 《谁都别吝啬》夏之光个人focus,00:03:17,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054201015D4D9651ADD0169E18B9644B
29,遇见天坛 第一季 第09期 冯绍峰嗨唱古风主题曲,01:07:29,观看至93%,11-02 02:17,https://vthumb.ykimg.com/054201015DBC2E988B7475979CC0CBAA
30,遇见天坛 第一季 第09期 抢先版:冯绍峰黄明昊彩排揭秘,00:25:38,观看不足1%,10-31 12:58,https://vthumb.ykimg.com/054201015DB972E2B09CD08E8B099951
31,我不能恋爱的女朋友 第13集,00:35:53,观看至52%,10-30 17:10,https://vthumb.ykimg.com/054206015CC8EF1100000129760BF353
32,[创造营]夏之光《赤子》直拍,00:03:22,观看不足1%,10-28 13:54,https://vthumb.ykimg.com/054206015D0A57C400000154B7082669
33,【R1SE-赵磊】创造营2019总决赛《赤子》直拍 “恭喜哇唧唧哇赵磊成团”,00:03:31,暂无数据，该网站无可播源,暂无数据，该网站无可播源,https://vthumb.ykimg.com/054206015CFE1B3100000172C5011A79
34,"我们恋爱吧 第一季 第07期 南方""回城加血""再战沙场",01:32:30,观看至27%,10-21 23:53,https://vthumb.ykimg.com/054201015DA92782ADD0169CA1196073
35,遇见天坛 第一季 第07期 抢先版:许魏洲李沁空降迎大考,00:26:07,观看不足1%,10-19 09:46,https://vthumb.ykimg.com/054201015DA6E220B09CD08EF42DA405
36,蒙面唱将猜猜猜 第四季 第01期 加长版 杨迪妈妈上<蒙面>?,02:05:56,观看至75%,10-17 23:26,https://vthumb.ykimg.com/054201015DA5E1C7ADCA619F43BD5A41
37,我们恋爱吧 第一季 第06期 甲板约会谁能牵手成功,01:33:28,已看完,10-16 15:23,https://vthumb.ykimg.com/054201015DA018D18B747593B95146AA
38,我们恋爱吧 第一季 第05期 番外篇 南方崩溃找凝曦哭诉求原谅,00:36:20,观看至96%,10-15 21:07,https://vthumb.ykimg.com/054201015D9A0BFFADD0169F29266E45
39,"我们恋爱吧 第一季 第02期 番外篇 韩文遭3女嘉宾""围攻""走心诉往事",00:31:48,观看至1%,10-15 21:07,https://vthumb.ykimg.com/054201015D7E493FB09CD08F694745D2
40,蒙面唱将猜猜猜 第四季 第01期 吴亦凡黄子韬都来了?,01:33:45,观看不足1%,10-15 21:04,https://vthumb.ykimg.com/054201015DA2C46BADCA619F4812EE4A
41,各位游客请注意 第一季 第09期 陈学冬感动泪洒生日宴,01:31:43,观看至67%,10-11 12:29,https://vthumb.ykimg.com/054201015D99EEDEADD0169F21D9EC2E
42,气氛诡异，音乐节迟信“强吻”郑泽,00:01:39,观看至61%,10-10 22:39,https://vthumb.ykimg.com/054205085D18AA6E00000147A404B26A
43,丁小柔牌”导航仪不靠谱，迟信山中发烧小柔冒险拦车,00:01:57,观看至52%,10-10 22:37,https://vthumb.ykimg.com/054206015D257C320000010A7C03C3AC
44,小柔因节目变“锦鲤”，网络暴力让小柔跌到谷底,00:01:42,观看至59%,10-10 22:36,https://vthumb.ykimg.com/054206015D15C45F00000175570002EF
45,中国好闺蜜，南飒飒为小柔出气大战露西,00:01:55,观看不足1%,10-10 22:32,https://vthumb.ykimg.com/054206015D15C459000001757E0644A2
46,各位游客请注意 第一季 第08期 陈学冬嘟嘴求亲被吐槽,01:35:44,已看完,10-07 22:24,https://vthumb.ykimg.com/054201015D9895428B39DA99BE8A4E75
47,我知道你的秘密 第01集,00:35:10,观看至5%,10-06 19:16,https://vthumb.ykimg.com/054201085D29644A000001478D075785
48,在远方 第01集,00:44:46,观看至3%,10-06 18:22,https://vthumb.ykimg.com/054208085D82A9300000015B30063210
49,我们恋爱吧 第一季 第05期 墨墨爆冷未投信给陈强,01:24:18,已看完,10-06 00:37,https://vthumb.ykimg.com/054201015D963CBB8B39DA99BB83B213
50,A Team成员面临危机，皓月执行危险计划,00:00:21,观看不足1%,10-03 15:25,https://vthumb.ykimg.com/054206015D7CF65100000166D0097BA5
